model,attribute,p_value,tau,bh_critical,bh_significant
Meta-Llama-3.1-70B,r2_scores_Electronegativity_an,1.254552017826427e-13,0.9233870967741935,0.002777777777777778,True
Meta-Llama-3.1-70B,r2_scores_Group_an,2.6001423236721166e-13,0.9112903225806451,0.005555555555555556,True
Meta-Llama-3.1-70B,r2_scores_Electronegativity_am,6.774580896262705e-13,0.8951612903225806,0.008333333333333333,True
Meta-Llama-3.1-70B,r2_scores_Group_g_p,5.418056365780188e-07,0.625,0.011111111111111112,True
Llama-2-7b-hf,r2_scores_Group_an,4.358673270377089e-05,0.8717948717948718,0.01388888888888889,True
Llama-2-7b-hf,r2_scores_Group_am,7.32183972087519e-05,0.8461538461538461,0.016666666666666666,True
Llama-3.1-8B,r2_scores_Electronegativity_am,0.00012126237486764779,0.8205128205128205,0.019444444444444445,True
Llama-2-7b-hf,r2_scores_Electronegativity_am,0.00019800980994699735,0.7948717948717948,0.022222222222222223,True
Meta-Llama-3.1-70B,r2_scores_Group_am,0.00029887973345732455,0.45161290322580644,0.025,True
Llama-2-7b-hf,r2_scores_Group_g_p,0.00031879975807957983,0.7692307692307693,0.02777777777777778,True
Llama-3.1-8B,r2_scores_Group_g_p,0.00031879975807957983,0.7692307692307693,0.030555555555555558,True
Llama-2-7b-hf,r2_scores_Electronegativity_an,0.00031879975807957983,0.7692307692307693,0.03333333333333333,True
Llama-3.1-8B,r2_scores_Group_am,0.0005061006025992576,0.7435897435897436,0.036111111111111115,True
Meta-Llama-3.1-70B,r2_scores_Electronegativity_p,0.0011160599546666816,0.40725806451612906,0.03888888888888889,True
Llama-3.1-8B,r2_scores_Electronegativity_an,0.0027949345698872197,0.6410256410256411,0.04166666666666667,True
Llama-3.1-8B,r2_scores_Electronegativity_p,0.017343359162423466,0.5128205128205128,0.044444444444444446,True
Llama-2-7b-hf,r2_scores_Electronegativity_p,0.12720368763109935,0.3333333333333333,0.04722222222222222,False
Llama-3.1-8B,r2_scores_Group_an,0.5021582515007486,-0.15384615384615385,0.05,False
