model,attribute,p_value,tau,bh_critical,bh_significant
Meta-Llama-3.1-70B,r2_scores_Group,0.0,0.9538461538461539,0.0033333333333333335,True
Meta-Llama-3.1-70B,r2_scores_Period,1.9317880628477724e-14,0.8435897435897436,0.006666666666666667,True
Meta-Llama-3.1-70B,r2_scores_Electronegativity,3.944800042177121e-11,0.7282051282051282,0.010000000000000002,True
Meta-Llama-3.1-70B,r2_scores_Atomic Mass,1.6796961641585284e-06,0.5282051282051282,0.013333333333333334,True
Llama-2-7b-hf,r2_scores_Electronegativity,1.8931051599002657e-05,0.8,0.016666666666666666,True
Llama-2-7b-hf,r2_scores_Atomic Mass,1.8931051599002657e-05,0.8,0.020000000000000004,True
Llama-2-7b-hf,r2_scores_Group,6.149382123754599e-05,0.75,0.023333333333333334,True
Meta-Llama-3.1-70B,r2_scores_Atomic Number,0.00018403336440608875,0.4128205128205128,0.02666666666666667,True
Llama-3.1-8B,r2_scores_Group,0.0025570393769516198,0.5666666666666667,0.03,True
Llama-2-7b-hf,r2_scores_Atomic Number,0.003428396252842525,0.55,0.03333333333333333,True
Llama-3.1-8B,r2_scores_Electronegativity,0.006025811357466715,0.5166666666666667,0.03666666666666667,True
Llama-2-7b-hf,r2_scores_Period,0.03433985000756268,0.4,0.04000000000000001,True
Llama-3.1-8B,r2_scores_Atomic Number,0.3004271167492414,0.2,0.043333333333333335,False
Llama-3.1-8B,r2_scores_Atomic Mass,0.3004271167492414,0.2,0.04666666666666667,False
Llama-3.1-8B,r2_scores_Period,0.8218916912511594,-0.05,0.05,False
