pair,layer,r2
atomic number - period,1,0.9470355769865559
atomic number - period,2,0.9201718665193587
atomic number - period,3,0.8788424080688564
atomic number - period,4,0.6354711527239572
atomic number - period,5,0.5519491021013041
atomic number - period,6,-0.242072279386158
atomic number - period,7,-0.19649454995239857
atomic number - period,8,0.1322481960019425
atomic number - period,9,-0.071347829102999
atomic number - period,10,-0.6030722708516417
atomic number - period,11,-0.742396726171713
atomic number - period,12,-0.49305811445664577
atomic number - period,13,-1.476806091285933
atomic number - period,14,-0.8111793487457153
atomic number - period,15,-0.49855697615310335
atomic number - period,16,-0.764812098539071
atomic number - period,17,-1.0022983259621814
atomic number - period,18,-1.5342114357413135
atomic number - period,19,-1.8582178280015156
atomic number - period,20,-1.8437866368113547
atomic number - period,21,-4.497911027031816
atomic number - period,22,-1.20792583673563
atomic number - period,23,-1.3239609265525738
atomic number - period,24,-1.3593590395199853
atomic number - period,25,-2.0284146279362045
atomic number - period,26,-1.6609690304210147
atomic number - period,27,-1.4288812249891127
atomic number - period,28,-2.1123053831123872
atomic number - period,29,-2.5706000427762334
atomic number - period,30,-1.3372314286864975
atomic number - period,31,-1.6594517755426872
atomic number - period,32,-1.4894931196075878
atomic number - period,33,-1.6067547499965245
atomic number - period,34,-1.5233253076263646
atomic number - period,35,-2.2511055245095823
atomic number - period,36,-0.7050630157605567
atomic number - period,37,0.3163384526708935
atomic number - period,38,0.28282323172471646
atomic number - period,39,0.6506958590897078
atomic number - period,40,0.40963182755566807
atomic number - period,41,0.4630652943319218
atomic number - period,42,0.5161308798086583
atomic number - period,43,0.5594289365825287
atomic number - period,44,0.2699241066596554
atomic number - period,45,0.26426644522855264
atomic number - period,46,0.43549485192752496
atomic number - period,47,0.4408498242863124
atomic number - period,48,0.46309176821583814
atomic number - period,49,0.4756662202200178
atomic number - period,50,0.5235733476695157
atomic number - period,51,0.5312316928217756
atomic number - period,52,0.557328022378924
atomic number - period,53,0.5270966407217955
atomic number - period,54,0.3918925478680729
atomic number - period,55,0.49731023724147183
atomic number - period,56,0.561160654433602
atomic number - period,57,0.5299502446855794
atomic number - period,58,0.5288785218356822
atomic number - period,59,0.5935338152300054
atomic number - period,60,0.571579853353857
atomic number - period,61,0.535384929860029
atomic number - period,62,0.5090892957413502
atomic number - period,63,0.4734966886828419
atomic number - period,64,0.4735113288514127
atomic number - period,65,0.4491917848123017
atomic number - period,66,0.5054786125339599
atomic number - period,67,0.4597992488443067
atomic number - period,68,0.3336159562512934
atomic number - period,69,0.22664537402296533
atomic number - period,70,0.22945121271481375
