pair,layer,r2
atomic number - period,1,0.9158929716438114
atomic number - period,2,0.9044498822515894
atomic number - period,3,0.8700052773197186
atomic number - period,4,0.5942787374714043
atomic number - period,5,0.5916542638494511
atomic number - period,6,-0.4424321350759877
atomic number - period,7,0.21583956263154108
atomic number - period,8,0.2885752308640643
atomic number - period,9,-0.09867876052003158
atomic number - period,10,-0.5881496625611855
atomic number - period,11,-1.0781708182958707
atomic number - period,12,-0.507266031914785
atomic number - period,13,-1.2072164035938606
atomic number - period,14,-0.7502474615860272
atomic number - period,15,-0.5542313887937109
atomic number - period,16,-0.8528441304452141
atomic number - period,17,-0.9678728335981269
atomic number - period,18,-1.2197424314447933
atomic number - period,19,-1.7124682904307835
atomic number - period,20,-2.6080915382443814
atomic number - period,21,-2.4345959099016734
atomic number - period,22,-1.3310982236258508
atomic number - period,23,-1.3811655481193212
atomic number - period,24,-1.3896185488763124
atomic number - period,25,-2.0572300664638785
atomic number - period,26,-1.6879668425724876
atomic number - period,27,-1.696273300358812
atomic number - period,28,-2.172712801919094
atomic number - period,29,-2.4462968441744497
atomic number - period,30,-1.346264865786703
atomic number - period,31,-1.7163562033783244
atomic number - period,32,-1.4871071672408012
atomic number - period,33,-1.483185792537476
atomic number - period,34,-1.563413616127105
atomic number - period,35,-2.199174527711262
atomic number - period,36,-0.7252970289127967
atomic number - period,37,0.3190268100552064
atomic number - period,38,0.26234893325114966
atomic number - period,39,0.6715584229163295
atomic number - period,40,0.44612182651505644
atomic number - period,41,0.48454265735684077
atomic number - period,42,0.5072263708174729
atomic number - period,43,0.5360153297345509
atomic number - period,44,0.2741137606422207
atomic number - period,45,0.4158837021420398
atomic number - period,46,0.5199785946231974
atomic number - period,47,0.4615304334421486
atomic number - period,48,0.5386324634621161
atomic number - period,49,0.5672556427682877
atomic number - period,50,0.48150912530566325
atomic number - period,51,0.5277079487925735
atomic number - period,52,0.545616246328255
atomic number - period,53,0.5325352643044013
atomic number - period,54,0.4905893609743102
atomic number - period,55,0.5627512643811725
atomic number - period,56,0.5661663454373617
atomic number - period,57,0.45802295729446885
atomic number - period,58,0.5466000493673756
atomic number - period,59,0.5668125320574917
atomic number - period,60,0.5861597809427775
atomic number - period,61,0.5551168704013345
atomic number - period,62,0.540063569711806
atomic number - period,63,0.45508793747582155
atomic number - period,64,0.4821093803739561
atomic number - period,65,0.3755966561257689
atomic number - period,66,0.5031660931865314
atomic number - period,67,0.4716557295267526
atomic number - period,68,0.3251424684598141
atomic number - period,69,0.3224660891576385
atomic number - period,70,0.3045374261777307
atomic number - period,71,0.10262998562472184
atomic number - period,72,0.09499432712999252
atomic number - period,73,-0.11364723528533886
atomic number - period,74,-0.25993284511889225
atomic number - period,75,-0.39708973243124857
atomic number - period,76,-0.2017845404382704
atomic number - period,77,-0.26402998662996113
atomic number - period,78,-0.2896323782918607
atomic number - period,79,-0.39737975662190533
atomic number - group,1,0.9425052728220704
atomic number - group,2,0.9409780065595388
atomic number - group,3,0.8717370950936247
atomic number - group,4,0.6357748914794332
atomic number - group,5,0.2758439089858095
atomic number - group,6,-1.0338184673165967
atomic number - group,7,-2.4246072174969617
atomic number - group,8,-0.3766895944632805
atomic number - group,9,-1.3413476970354563
atomic number - group,10,-2.2034916754904685
atomic number - group,11,-2.358468338052
atomic number - group,12,-1.6886514241466706
atomic number - group,13,-1.3128089897459576
atomic number - group,14,-1.5611548331965124
atomic number - group,15,-0.9130256213391226
atomic number - group,16,-1.5405699589999493
atomic number - group,17,-1.1141284049169164
atomic number - group,18,-1.1188995367702224
atomic number - group,19,-1.4851678855494634
atomic number - group,20,-1.2397775226350176
atomic number - group,21,-1.3127363878075742
atomic number - group,22,-1.561869957219147
atomic number - group,23,-1.6054728294631224
atomic number - group,24,-1.544215065126434
atomic number - group,25,-2.4011801960040264
atomic number - group,26,-2.2301687520107865
atomic number - group,27,-2.4275056095548693
atomic number - group,28,-2.2195474170945424
atomic number - group,29,-2.0756469267730355
atomic number - group,30,-1.279260693287732
atomic number - group,31,-1.1135046403155346
atomic number - group,32,-1.2096067529393584
atomic number - group,33,-1.5010235390671298
atomic number - group,34,-1.4537044873376068
atomic number - group,35,-2.7055265287952444
atomic number - group,36,-1.09307878737379
atomic number - group,37,-0.13584879039614622
atomic number - group,38,-0.08194985548685632
atomic number - group,39,0.5069920904428111
atomic number - group,40,0.191945684109124
atomic number - group,41,0.2727589909952422
atomic number - group,42,0.23241585632097755
atomic number - group,43,0.19662981487728054
atomic number - group,44,0.013122021307708698
atomic number - group,45,0.061917172283800205
atomic number - group,46,0.1859408453804119
